,nbed,totalFloors,floorNo.,Area(sqft),parkings,nbath,balconies,Amt(rupees),Ready to Move,Under Construction
0,4,10,5,2935,2,4,1,19000000.0,0,1
1,2,14,2,710,1,2,1,5160000.0,0,1
2,3,12,11,315,1,3,1,11100000.000000002,1,0
3,4,12,3,3060,3,4,1,40000000.0,1,0
4,3,5,3,465,1,3,1,13300000.0,1,0
5,4,10,8,4279,1,4,1,27800000.0,0,1
6,4,13,9,3934,1,3,1,33400000.0,1,0
7,3,14,7,879,1,3,1,7050000.0,1,0
8,3,14,5,1015,1,3,2,6300000.0,0,1
9,3,7,5,2250,2,3,1,18500000.0,1,0
10,2,2,2,279,1,2,2,6400000.0,1,0
11,3,14,7,950,1,3,1,6559999.999999999,0,1
12,4,13,8,2825,1,4,2,10100000.0,0,1
13,2,13,6,1285,1,2,1,4900000.0,1,0
14,3,12,3,890,1,3,2,5750000.0,1,0
15,3,12,8,2385,1,3,1,10600000.0,0,1
16,3,14,8,1040,1,3,1,6400000.0,0,1
17,3,14,5,1015,1,3,1,6350000.0,0,1
18,4,12,-1,2721,2,4,4,38600000.0,1,0
19,3,12,5,2115,1,3,2,13500000.0,1,0
20,4,29,28,5097,4,4,3,81500000.0,0,1
21,5,33,5,2530,2,5,3,28200000.0,0,1
22,4,13,5,3182,1,4,1,42500000.0,1,0
23,3,14,7,1002,1,3,1,8600000.0,1,0
24,3,14,7,950,1,3,1,9000000.0,1,0
25,2,5,-1,810,1,2,2,8000000.0,1,0
26,2,12,6,750,1,2,1,6000000.0,1,0
27,3,7,5,970,1,3,2,3400000.0,0,1
28,3,14,14,1750,1,3,1,8600000.0,0,1
29,2,7,2,360,1,2,1,5800000.0,1,0
30,3,13,11,360,1,3,1,7300000.0,1,0
31,3,13,8,1020,1,3,1,7000000.0,0,1
32,3,22,12,1541,2,3,3,16200000.000000002,0,1
33,4,13,5,1856,2,4,1,23000000.0,0,1
34,2,13,5,1260,1,2,2,4100000.0,1,0
35,4,20,19,2310,3,4,2,32300000.0,0,1
36,3,14,10,1060,2,3,1,9930000.0,0,1
37,4,18,10,2695,2,4,1,19000000.0,0,1
38,2,4,3,873,1,2,1,4120000.000000001,1,0
39,5,12,5,2645,2,5,1,23000000.0,0,1
40,3,6,6,600,1,3,1,11000000.0,1,0
41,4,21,9,3300,3,4,3,65500000.0,1,0
42,2,12,6,945,1,2,1,7700000.0,1,0
43,2,10,3,607,1,2,1,4500000.0,1,0
44,4,14,6,1837,1,4,1,14500000.0,0,1
45,2,14,5,747,1,2,1,6500000.0,0,1
